name,atomic_number,abbreviation,matter_state,metal_type,has_item,description,color
hydrogen,1,H,gas,nonmetal,False,,B3DFFF
helium,2,He,gas,nonmetal,False,,FFFDCC
lithium,3,Li,solid,metal,False,,8F243E
beryllium,4,Be,solid,metal,False,,21A17E
boron,5,B,solid,metalloid,False,,3E4A60
carbon,6,C,solid,nonmetal,False,,282828
nitrogen,7,N,gas,nonmetal,False,,E1B4B8
oxygen,8,O,gas,nonmetal,False,,84CFFE
fluorine,9,F,gas,nonmetal,False,,B4D14B
neon,10,Ne,gas,nonmetal,False,,F4BC27
sodium,11,Na,solid,metal,False,,d3c683
magnesium,12,Mg,solid,metal,False,,EDADEC
aluminum,13,Al,solid,metal,False,,D9D9D9
silicon,14,Si,solid,metalloid,False,,adb279
phosphorus,15,P,solid,nonmetal,False,,d7c38a
sulfur,16,S,solid,nonmetal,False,,b5a510
chlorine,17,Cl,gas,nonmetal,False,,8dd41c
argon,18,Ar,gas,nonmetal,False,,6711A3
potassium,19,K,solid,metal,False,,c6985f
calcium,20,Ca,solid,metal,False,,dbd2c7
scandium,21,Sc,solid,metal,False,,fcff63
titanium,22,Ti,solid,metal,False,,6375ff
vanadium,23,V,solid,metal,False,,647689
chromium,24,Cr,solid,metal,False,,481a5d
manganese,25,Mn,solid,metal,False,,c7a385
iron,26,Fe,solid,metal,True,,34302e
cobalt,27,Co,solid,metal,False,,6666FF
nickel,28,Ni,solid,metal,False,,62764c
copper,29,Cu,solid,metal,True,,956853
zinc,30,Zn,solid,metal,False,,a0997d
gallium,31,Ga,solid,metal,False,,a1a8c1
germanium,32,Ge,solid,metalloid,False,,ccd4c0
arsenic,33,As,solid,metalloid,False,,8c3f31
selenium,34,Se,solid,nonmetal,False,,077c81
bromine,35,Br,liquid,nonmetal,False,,a61601
krypton,36,Kr,gas,nonmetal,False,,bce2ef
rubidium,37,Rb,solid,metal,False,,ee88fd
strontium,38,Sr,solid,metal,False,,536998
yttrium,39,Y,solid,metal,False,,b366c4
zirconium,40,Zr,solid,metal,False,,d3bb8f
niobium,41,Nb,solid,metal,False,,734d54
molybdenum,42,Mo,solid,metal,False,,6d7e9a
technetium,43,Tc,solid,metal,False,,758489
ruthenium,44,Ru,solid,metal,False,,715f63
rhodium,45,Rh,solid,metal,False,,827569
palladium,46,Pd,solid,metal,False,,704158
silver,47,Ag,solid,metal,False,,c1c7c7
cadmium,48,Cd,solid,metal,False,,9a2b34
indium,49,In,solid,metal,False,,86847f
tin,50,Sn,solid,metal,False,,46311a
antimony,51,Sb,solid,metalloid,False,,855770
tellurium,52,Te,solid,metalloid,False,,275b1a
iodine,53,I,solid,nonmetal,False,,571162
xenon,54,Xe,gas,nonmetal,False,,2861a7
cesium,55,Cs,solid,metal,False,,cbac2a
barium,56,Ba,solid,metal,False,,c7bca8
lanthanum,57,La,solid,metal,False,,ba9160
cerium,58,Ce,solid,metal,False,,662c5e
praseodymium,59,Pr,solid,metal,False,,73b93d
neodymium,60,Nd,solid,metal,False,,8c696b
promethium,61,Pm,solid,metal,False,,62af0a7
